id_municipio,ano,populacao
1100106,2019,46174
1100114,1991,63535
1100114,1992,52287
1100114,1993,54456
1100114,1994,56467
1100114,1995,58428
1100114,1996,48141
1100114,1997,47779
1100114,1998,47437
1100114,1999,47126
1100114,2001,53150
1100114,2002,54352
1100114,2003,54701
1100114,2004,56238
1100114,2005,55840
1100114,2006,56242
1100114,2007,52453
1100114,2008,53955
1100114,2009,53943
1100114,2010,52005
1100114,2011,51883
1100114,2012,51765
1100114,2013,55597
1100114,2014,55669
1100114,2015,55738
1100114,2016,55806
1100114,2017,55871
1100114,2018,51933
1100114,2019,51775
1100122,1991,97799
1100122,1992,102481
1100122,1993,106457
1100122,1994,110390
1100122,1995,114226
1100122,1996,95356
1100122,1997,94639
1100122,1998,93961
1100122,1999,93346
1100122,2001,107869
1100122,2002,108694
1100122,2003,109573
1100122,2004,113441
1100122,2005,112439
1100122,2006,113453
1100122,2007,107679
1100122,2008,110707
1100122,2009,111010
1100122,2010,116610
1100122,2011,117363
1100122,2012,118092
1100122,2013,128026
1100122,2014,129242
1100122,2015,130419
1100122,2016,131560
1100122,2017,132667
1100122,2018,127907
1100122,2019,128969
1100130,1991,16765
1100130,1992,17202
1100130,1993,17677
1100130,1994,18130
1100130,1995,18572
1100130,1996,28949
1100130,1997,26122
1100130,1998,28095
1100130,1999,30302
1100130,2001,23873
1100130,2002,24724
1100130,2003,25645
1100130,2004,29698
1100130,2005,28649
1100130,2006,29711
1100130,2007,31475
1100130,2008,32214
1100130,2009,33159
1100130,2010,31135
1100130,2011,31779
1100130,2012,32403
1100130,2013,35633
1100130,2014,36412
1100130,2015,37167
1100130,2016,37899
1100130,2017,38609
1100130,2018,39097
1100130,2019,39991
1100148,1991,15797
1100148,1992,16317
1100148,1993,16743
1100148,1994,17172
1100148,1995,17591
1100148,1996,15422
1100148,1997,15335
1100148,1998,15253
1100148,1999,15178
1100148,2001,17216
1100148,2002,17334
1100148,2003,17458
1100148,2004,18003
1100148,2005,17862
1100148,2006,18005
1100148,2007,17170
1100148,2008,17653
1100148,2009,17698
1100148,2010,19874
1100148,2011,19882
1100148,2012,19891
1100148,2013,21427
1100148,2014,21511
1100148,2015,21592
1100148,2016,21670
1100148,2017,21747
1100148,2018,20459
1100148,2019,20474
1100155,1991,84575
1100155,1992,55496
1100155,1993,57490
1100155,1994,59613
1100155,1995,61684
1100155,1996,52261
1100155,1997,40581
1100155,1998,40508
1100155,1999,40443
1100155,2001,40836
1100155,2002,40841
1100155,2003,40822
1100155,2004,40735
1100155,2005,40757
1100155,2006,40735
1100155,2007,36040
1100155,2008,37142
1100155,2009,36725
1100155,2010,37928
1100155,2011,37701
1100155,2012,37482
1100155,2013,40099
1100155,2014,40010
1100155,2015,39924
1100155,2016,39840
1100155,2017,39759
1100155,2018,36340
1100155,2019,36035
1100189,1991,48758
1100189,1992,51784
1100189,1993,54273
1100189,1994,56778
1100189,1995,59220
1100189,1996,48260
1100189,1997,31819
1100189,1998,31761
1100189,1999,31710
1100189,2001,31685
1100189,2002,31656
1100189,2003,31612
1100189,2004,31416
1100189,2005,31466
1100189,2006,31415
1100189,2007,32893
1100189,2008,33803
1100189,2009,33984
1100189,2010,33822
1100189,2011,33981
1100189,2012,34135
1100189,2013,36939
1100189,2014,37230
1100189,2015,37512
1100189,2016,37786
1100189,2017,38051
1100189,2018,36434
1100189,2019,36660
1100205,1991,287289
1100205,1992,284576
1100205,1993,296770
1100205,1994,307923
1100205,1995,318859
1100205,1996,294227
1100205,1997,299894
1100205,1998,304996
1100205,1999,309750
1100205,2001,342264
1100205,2002,347844
1100205,2003,353961
1100205,2004,380884
1100205,2005,373917
1100205,2006,380974
1100205,2007,369345
1100205,2008,379186
1100205,2009,382829
1100205,2010,428527
1100205,2011,435732
1100205,2012,442701
1100205,2013,484992
1100205,2014,494013
1100205,2015,502748
1100205,2016,511219
1100205,2017,519436
1100205,2018,519531
1100205,2019,529544
1100254,1991,30063
1100254,1992,31981
1100254,1993,33559
1100254,1994,32488
1100254,1995,33920
1100254,1996,28490
1100254,1997,28717
1100254,1998,28932
1100254,1999,29127
1100254,2001,26164
1100254,2002,26065
1100254,2003,25926
1100254,2004,25314
1100254,2005,25473
1100254,2006,25313
1100254,2007,22197
1100254,2008,22896
1100254,2009,22519
1100254,2010,22319
1100254,2011,22008
1100254,2012,21709
1100254,2013,23017
1100254,2014,22783
